AAT_ECOLI   0.49  0.29  0.48  0.50  0.56  0.24  0.35   0
ACEA_ECOLI  0.07  0.40  0.48  0.50  0.54  0.35  0.44   0
ACEK_ECOLI  0.56  0.40  0.48  0.50  0.49  0.37  0.46   0
ACKA_ECOLI  0.59  0.49  0.48  0.50  0.52  0.45  0.36   0
ADI_ECOLI   0.23  0.32  0.48  0.50  0.55  0.25  0.35   0
ALKH_ECOLI  0.67  0.39  0.48  0.50  0.36  0.38  0.46   0
AMPD_ECOLI  0.29  0.28  0.48  0.50  0.44  0.23  0.34   0
AMY2_ECOLI  0.21  0.34  0.48  0.50  0.51  0.28  0.39   0
APT_ECOLI   0.20  0.44  0.48  0.50  0.46  0.51  0.57   0
ARAC_ECOLI  0.42  0.40  0.48  0.50  0.56  0.18  0.30   0
ASG1_ECOLI  0.42  0.24  0.48  0.50  0.57  0.27  0.37   0
BTUR_ECOLI  0.25  0.48  0.48  0.50  0.44  0.17  0.29   0
CAFA_ECOLI  0.39  0.32  0.48  0.50  0.46  0.24  0.35   0
CAIB_ECOLI  0.51  0.50  0.48  0.50  0.46  0.32  0.35   0
CFA_ECOLI   0.22  0.43  0.48  0.50  0.48  0.16  0.28   0
CHEA_ECOLI  0.25  0.40  0.48  0.50  0.46  0.44  0.52   0
CHEB_ECOLI  0.34  0.45  0.48  0.50  0.38  0.24  0.35   0
CHEW_ECOLI  0.44  0.27  0.48  0.50  0.55  0.52  0.58   0
CHEY_ECOLI  0.23  0.40  0.48  0.50  0.39  0.28  0.38   0
CHEZ_ECOLI  0.41  0.57  0.48  0.50  0.39  0.21  0.32   0
CRL_ECOLI   0.40  0.45  0.48  0.50  0.38  0.22  0.00   0
CSPA_ECOLI  0.31  0.23  0.48  0.50  0.73  0.05  0.14   0
CYNR_ECOLI  0.51  0.54  0.48  0.50  0.41  0.34  0.43   0
CYPB_ECOLI  0.30  0.16  0.48  0.50  0.56  0.11  0.23   0
CYPC_ECOLI  0.36  0.39  0.48  0.50  0.48  0.22  0.23   0
CYSB_ECOLI  0.29  0.37  0.48  0.50  0.48  0.44  0.52   0
CYSE_ECOLI  0.25  0.40  0.48  0.50  0.47  0.33  0.42   0
DAPD_ECOLI  0.21  0.51  0.48  0.50  0.50  0.32  0.41   0
DCP_ECOLI   0.43  0.37  0.48  0.50  0.53  0.35  0.44   0
DDLA_ECOLI  0.43  0.39  0.48  0.50  0.47  0.31  0.41   0
DDLB_ECOLI  0.53  0.38  0.48  0.50  0.44  0.26  0.36   0
DEOC_ECOLI  0.34  0.33  0.48  0.50  0.38  0.35  0.44   0
DLDH_ECOLI  0.56  0.51  0.48  0.50  0.34  0.37  0.46   0
EFG_ECOLI   0.40  0.29  0.48  0.50  0.42  0.35  0.44   0
EFTS_ECOLI  0.24  0.35  0.48  0.50  0.31  0.19  0.31   0
EFTU_ECOLI  0.36  0.54  0.48  0.50  0.41  0.38  0.46   0
ENO_ECOLI   0.29  0.52  0.48  0.50  0.42  0.29  0.39   0
FABB_ECOLI  0.65  0.47  0.48  0.50  0.59  0.30  0.40   0
FES_ECOLI   0.32  0.42  0.48  0.50  0.35  0.28  0.38   0
G3P1_ECOLI  0.38  0.46  0.48  0.50  0.48  0.22  0.29   0
G3P2_ECOLI  0.33  0.45  0.48  0.50  0.52  0.32  0.41   0
G6PI_ECOLI  0.30  0.37  0.48  0.50  0.59  0.41  0.49   0
GCVA_ECOLI  0.40  0.50  0.48  0.50  0.45  0.39  0.47   0
GLNA_ECOLI  0.28  0.38  0.48  0.50  0.50  0.33  0.42   0
GLPD_ECOLI  0.61  0.45  0.48  0.50  0.48  0.35  0.41   0
GLYA_ECOLI  0.17  0.38  0.48  0.50  0.45  0.42  0.50   0
GSHR_ECOLI  0.44  0.35  0.48  0.50  0.55  0.55  0.61   0
GT_ECOLI    0.43  0.40  0.48  0.50  0.39  0.28  0.39   0
HEM6_ECOLI  0.42  0.35  0.48  0.50  0.58  0.15  0.27   0
HEMN_ECOLI  0.23  0.33  0.48  0.50  0.43  0.33  0.43   0
HPRT_ECOLI  0.37  0.52  0.48  0.50  0.42  0.42  0.36   0
IF1_ECOLI   0.29  0.30  0.48  0.50  0.45  0.03  0.17   0
IF2_ECOLI   0.22  0.36  0.48  0.50  0.35  0.39  0.47   0
ILVY_ECOLI  0.23  0.58  0.48  0.50  0.37  0.53  0.59   0
IPYR_ECOLI  0.47  0.47  0.48  0.50  0.22  0.16  0.26   0
KAD_ECOLI   0.54  0.47  0.48  0.50  0.28  0.33  0.42   0
KDSA_ECOLI  0.51  0.37  0.48  0.50  0.35  0.36  0.45   0
LEU3_ECOLI  0.40  0.35  0.48  0.50  0.45  0.33  0.42   0
LON_ECOLI   0.44  0.34  0.48  0.50  0.30  0.33  0.43   0
LPLA_ECOLI  0.42  0.38  0.48  0.50  0.54  0.34  0.43   0
LYSR_ECOLI  0.44  0.56  0.48  0.50  0.50  0.46  0.54   0
MALQ_ECOLI  0.52  0.36  0.48  0.50  0.41  0.28  0.38   0
MALZ_ECOLI  0.36  0.41  0.48  0.50  0.48  0.47  0.54   0
MASY_ECOLI  0.18  0.30  0.48  0.50  0.46  0.24  0.35   0
METB_ECOLI  0.47  0.29  0.48  0.50  0.51  0.33  0.43   0
METC_ECOLI  0.24  0.43  0.48  0.50  0.54  0.52  0.59   0
METK_ECOLI  0.25  0.37  0.48  0.50  0.41  0.33  0.42   0
METR_ECOLI  0.52  0.57  0.48  0.50  0.42  0.47  0.54   0
METX_ECOLI  0.25  0.37  0.48  0.50  0.43  0.26  0.36   0
MURF_ECOLI  0.35  0.48  0.48  0.50  0.56  0.40  0.48   0
NADA_ECOLI  0.26  0.26  0.48  0.50  0.34  0.25  0.35   0
NFRC_ECOLI  0.44  0.51  0.48  0.50  0.47  0.26  0.36   0
NHAR_ECOLI  0.37  0.50  0.48  0.50  0.42  0.36  0.45   0
NIRD_ECOLI  0.44  0.42  0.48  0.50  0.42  0.25  0.20   0
OMPR_ECOLI  0.24  0.43  0.48  0.50  0.37  0.28  0.38   0
OTC1_ECOLI  0.42  0.30  0.48  0.50  0.48  0.26  0.36   0
OTC2_ECOLI  0.48  0.42  0.48  0.50  0.45  0.25  0.35   0
PEPE_ECOLI  0.41  0.48  0.48  0.50  0.51  0.44  0.51   0
PFLA_ECOLI  0.44  0.28  0.48  0.50  0.43  0.27  0.37   0
PFLB_ECOLI  0.29  0.41  0.48  0.50  0.48  0.38  0.46   0
PGK_ECOLI   0.34  0.28  0.48  0.50  0.41  0.35  0.44   0
PHOB_ECOLI  0.41  0.43  0.48  0.50  0.45  0.31  0.41   0
PHOH_ECOLI  0.29  0.47  0.48  0.50  0.41  0.23  0.34   0
PMBA_ECOLI  0.34  0.55  0.48  0.50  0.58  0.31  0.41   0
PNP_ECOLI   0.36  0.56  0.48  0.50  0.43  0.45  0.53   0
PROB_ECOLI  0.40  0.46  0.48  0.50  0.52  0.49  0.56   0
PT1A_ECOLI  0.50  0.49  0.48  0.50  0.49  0.46  0.53   0
PT1_ECOLI   0.52  0.44  0.48  0.50  0.37  0.36  0.42   0
PTCA_ECOLI  0.50  0.51  0.48  0.50  0.27  0.23  0.34   0
PTCB_ECOLI  0.53  0.42  0.48  0.50  0.16  0.29  0.39   0
PTFA_ECOLI  0.34  0.46  0.48  0.50  0.52  0.35  0.44   0
PTGA_ECOLI  0.40  0.42  0.48  0.50  0.37  0.27  0.27   0
PTHA_ECOLI  0.41  0.43  0.48  0.50  0.50  0.24  0.25   0
PTHP_ECOLI  0.30  0.45  0.48  0.50  0.36  0.21  0.32   0
PTKA_ECOLI  0.31  0.47  0.48  0.50  0.29  0.28  0.39   0
PTKB_ECOLI  0.64  0.76  0.48  0.50  0.45  0.35  0.38   0
PTNA_ECOLI  0.35  0.37  0.48  0.50  0.30  0.34  0.43   0
PTWB_ECOLI  0.57  0.54  0.48  0.50  0.37  0.28  0.33   0
PTWX_ECOLI  0.65  0.55  0.48  0.50  0.34  0.37  0.28   0
RHAR_ECOLI  0.51  0.46  0.48  0.50  0.58  0.31  0.41   0
RHAS_ECOLI  0.38  0.40  0.48  0.50  0.63  0.25  0.35   0
RIMI_ECOLI  0.24  0.57  0.48  0.50  0.63  0.34  0.43   0
RIMJ_ECOLI  0.38  0.26  0.48  0.50  0.54  0.16  0.28   0
RIML_ECOLI  0.33  0.47  0.48  0.50  0.53  0.18  0.29   0
RNB_ECOLI   0.24  0.34  0.48  0.50  0.38  0.30  0.40   0
RNC_ECOLI   0.26  0.50  0.48  0.50  0.44  0.32  0.41   0
RND_ECOLI   0.44  0.49  0.48  0.50  0.39  0.38  0.40   0
RNE_ECOLI   0.43  0.32  0.48  0.50  0.33  0.45  0.52   0
SERC_ECOLI  0.49  0.43  0.48  0.50  0.49  0.30  0.40   0
SLYD_ECOLI  0.47  0.28  0.48  0.50  0.56  0.20  0.25   0
SOXS_ECOLI  0.32  0.33  0.48  0.50  0.60  0.06  0.20   0
SYA_ECOLI   0.34  0.35  0.48  0.50  0.51  0.49  0.56   0
SYC_ECOLI   0.35  0.34  0.48  0.50  0.46  0.30  0.27   0
SYD_ECOLI   0.38  0.30  0.48  0.50  0.43  0.29  0.39   0
SYE_ECOLI   0.38  0.44  0.48  0.50  0.43  0.20  0.31   0
SYFA_ECOLI  0.41  0.51  0.48  0.50  0.58  0.20  0.31   0
SYFB_ECOLI  0.34  0.42  0.48  0.50  0.41  0.34  0.43   0
SYGA_ECOLI  0.51  0.49  0.48  0.50  0.53  0.14  0.26   0
SYGB_ECOLI  0.25  0.51  0.48  0.50  0.37  0.42  0.50   0
SYH_ECOLI   0.29  0.28  0.48  0.50  0.50  0.42  0.50   0
SYI_ECOLI   0.25  0.26  0.48  0.50  0.39  0.32  0.42   0
SYK1_ECOLI  0.24  0.41  0.48  0.50  0.49  0.23  0.34   0
SYK2_ECOLI  0.17  0.39  0.48  0.50  0.53  0.30  0.39   0
SYL_ECOLI   0.04  0.31  0.48  0.50  0.41  0.29  0.39   0
SYM_ECOLI   0.61  0.36  0.48  0.50  0.49  0.35  0.44   0
SYP_ECOLI   0.34  0.51  0.48  0.50  0.44  0.37  0.46   0
SYQ_ECOLI   0.28  0.33  0.48  0.50  0.45  0.22  0.33   0
SYR_ECOLI   0.40  0.46  0.48  0.50  0.42  0.35  0.44   0
SYS_ECOLI   0.23  0.34  0.48  0.50  0.43  0.26  0.37   0
SYT_ECOLI   0.37  0.44  0.48  0.50  0.42  0.39  0.47   0
SYV_ECOLI   0.00  0.38  0.48  0.50  0.42  0.48  0.55   0
SYW_ECOLI   0.39  0.31  0.48  0.50  0.38  0.34  0.43   0
SYY_ECOLI   0.30  0.44  0.48  0.50  0.49  0.22  0.33   0
THGA_ECOLI  0.27  0.30  0.48  0.50  0.71  0.28  0.39   0
THIK_ECOLI  0.17  0.52  0.48  0.50  0.49  0.37  0.46   0
TYRB_ECOLI  0.36  0.42  0.48  0.50  0.53  0.32  0.41   0
UBIC_ECOLI  0.30  0.37  0.48  0.50  0.43  0.18  0.30   0
